               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04576,            0.010507,           0.0031951,             0.90435,             0.48752,             0.66659,             0.39965,            0.046902,             0.01431,           0.0086034,            0.008845,            0.008845,            0.008845
                  37,            0.043487,            0.010376,           0.0033795,             0.84236,             0.52168,              0.6699,             0.38687,            0.045613,             0.01423,           0.0087271,            0.008812,            0.008812,            0.008812
                  38,            0.042265,           0.0098376,           0.0030328,             0.86598,              0.5449,             0.61487,             0.39546,            0.044694,             0.01489,            0.010779,            0.008779,            0.008779,            0.008779
                  39,            0.043528,            0.010628,           0.0028077,             0.83796,             0.54762,             0.64532,             0.34439,            0.048641,            0.014802,           0.0093371,            0.008746,            0.008746,            0.008746
                  40,            0.042108,           0.0095972,           0.0028768,              0.8917,             0.54762,             0.68742,             0.40303,            0.044792,            0.014964,           0.0088015,            0.008713,            0.008713,            0.008713
                  41,            0.043347,           0.0098917,             0.00306,             0.88257,             0.54762,             0.66323,             0.42925,            0.045781,            0.015403,           0.0088918,             0.00868,             0.00868,             0.00868
                  42,            0.041556,             0.01025,           0.0028242,              0.7865,             0.54762,             0.64335,             0.40939,            0.044434,            0.014956,           0.0086723,            0.008647,            0.008647,            0.008647
                  43,            0.039884,           0.0095306,           0.0027996,             0.71954,             0.63621,             0.67989,             0.43457,            0.043966,            0.014356,           0.0080342,            0.008614,            0.008614,            0.008614
                  44,            0.041586,           0.0098178,            0.003136,             0.77762,             0.63566,             0.68095,             0.37787,            0.045208,            0.014792,           0.0078399,            0.008581,            0.008581,            0.008581
                  45,            0.043766,           0.0097684,           0.0027565,              0.8504,             0.63122,             0.68059,             0.43374,            0.046105,            0.014969,           0.0079756,            0.008548,            0.008548,            0.008548
                  46,            0.041672,            0.010723,           0.0025039,             0.90755,             0.70732,             0.73897,             0.41158,            0.050038,             0.01409,           0.0089228,            0.008515,            0.008515,            0.008515
                  47,            0.040398,           0.0088057,            0.002356,             0.80268,             0.63878,             0.69517,             0.47297,            0.045939,            0.014087,           0.0094576,            0.008482,            0.008482,            0.008482
                  48,            0.039355,           0.0096003,           0.0025059,             0.79696,             0.63423,             0.70651,              0.4134,            0.044158,            0.013761,           0.0094589,            0.008449,            0.008449,            0.008449
                  49,            0.039438,           0.0086125,           0.0029873,             0.75992,             0.66761,             0.71513,             0.43799,            0.044559,            0.013347,           0.0092337,            0.008416,            0.008416,            0.008416
                  50,            0.037091,           0.0091808,           0.0026807,             0.89265,             0.63451,             0.73368,             0.41057,            0.044302,             0.01311,            0.009224,            0.008383,            0.008383,            0.008383
                  51,             0.03971,           0.0087367,           0.0023182,             0.95545,             0.69599,             0.77567,             0.39386,            0.047938,             0.01257,           0.0091071,             0.00835,             0.00835,             0.00835
                  52,            0.041276,           0.0093649,           0.0021074,             0.90185,             0.70671,             0.81454,             0.41027,            0.048601,            0.012425,           0.0085688,            0.008317,            0.008317,            0.008317
                  53,              0.0394,           0.0082922,           0.0025815,             0.87151,             0.69794,              0.8552,             0.48599,             0.04535,             0.01264,           0.0076424,            0.008284,            0.008284,            0.008284
                  54,            0.038754,           0.0098583,           0.0031185,             0.83491,             0.82366,             0.89508,             0.53367,            0.038039,            0.013112,           0.0074466,            0.008251,            0.008251,            0.008251
                  55,            0.039121,           0.0087999,           0.0024161,             0.92071,             0.86142,             0.91258,             0.49929,            0.043192,            0.012497,           0.0070379,            0.008218,            0.008218,            0.008218
                  56,            0.039229,           0.0088081,           0.0026662,             0.87599,             0.84428,             0.88559,             0.51827,            0.042234,            0.012338,           0.0066775,            0.008185,            0.008185,            0.008185
                  57,            0.039941,           0.0089723,           0.0023611,             0.81635,             0.82334,             0.85721,              0.5414,            0.039574,            0.012925,           0.0060863,            0.008152,            0.008152,            0.008152
                  58,            0.037663,           0.0098835,           0.0025098,             0.91493,             0.84606,             0.90248,             0.48994,            0.040977,            0.011865,           0.0056486,            0.008119,            0.008119,            0.008119
                  59,            0.038337,           0.0093132,           0.0020177,             0.94035,             0.80938,             0.89407,             0.49522,            0.043524,            0.012476,           0.0054096,            0.008086,            0.008086,            0.008086
                  60,            0.036372,           0.0088522,            0.002041,             0.88216,             0.80584,             0.87297,             0.47957,            0.043972,            0.012648,           0.0054926,            0.008053,            0.008053,            0.008053
                  61,            0.037245,           0.0090872,           0.0022199,             0.71357,             0.81845,              0.8307,             0.49043,            0.039627,            0.012856,           0.0052512,             0.00802,             0.00802,             0.00802
                  62,            0.036497,           0.0086732,           0.0020388,             0.86248,             0.78926,             0.82993,             0.52369,             0.04098,            0.013872,           0.0055237,            0.007987,            0.007987,            0.007987
                  63,             0.03632,           0.0099931,           0.0021494,             0.78973,             0.80593,             0.81697,             0.52576,            0.042387,            0.014144,            0.005628,            0.007954,            0.007954,            0.007954
                  64,            0.035736,           0.0090175,           0.0024194,             0.76871,             0.70795,             0.75266,             0.49847,             0.04309,            0.014424,           0.0055756,            0.007921,            0.007921,            0.007921
                  65,            0.036361,           0.0082088,            0.002318,              0.8352,             0.62177,             0.73777,             0.49393,            0.040962,             0.01515,           0.0054122,            0.007888,            0.007888,            0.007888
                  66,            0.035723,           0.0081427,            0.002084,             0.95793,             0.71017,             0.82023,             0.45887,            0.040407,            0.015523,           0.0053221,            0.007855,            0.007855,            0.007855
                  67,            0.036708,           0.0087252,           0.0018285,             0.86514,             0.63095,             0.70832,             0.47702,            0.037943,            0.015047,           0.0050513,            0.007822,            0.007822,            0.007822
                  68,            0.035627,           0.0077391,            0.001767,             0.86231,             0.64097,             0.70501,             0.47267,             0.04017,            0.014875,            0.004928,            0.007789,            0.007789,            0.007789
                  69,            0.037867,           0.0079907,           0.0017235,               0.951,             0.73512,             0.81937,             0.46211,            0.039276,            0.014033,            0.004857,            0.007756,            0.007756,            0.007756
                  70,            0.035713,           0.0080764,           0.0019434,             0.90598,             0.76034,             0.84499,             0.47053,            0.040217,            0.013691,           0.0050462,            0.007723,            0.007723,            0.007723
                  71,            0.035528,           0.0087152,           0.0019271,             0.98709,             0.70741,             0.84527,             0.49954,            0.039227,            0.014059,           0.0056089,             0.00769,             0.00769,             0.00769
                  72,            0.036412,           0.0089799,           0.0018222,             0.89915,             0.76352,             0.84072,             0.53211,            0.039106,              0.0141,           0.0059294,            0.007657,            0.007657,            0.007657
